Apartment_Name,Apartment_Price,Complete Unit,Furnished,Utilities_included,Pet Friendly,Gym_and_Pool,In-Unit Laundry,Recreation areas,Free Parking,Apartment_Bus_stop,Apartment_Bus_no.,Fishpond,MSC,Zachary_Engineering,Reed Arena,Mays Business School,Rellis,Overall,Website,Contact No.,Address,Bedroom,Bathroom
The Trails at Wolf Pen,1636,1,0,0,1,1,1,1,1,1,26,3.5,4.2,3.4,3.9,4.5,14.4,3.0,https://www.thetrailsatwolfpencreek.com/,933-360-2616,950 Colgate Dr,4,2.0
Parcside Townhomes,1109,1,0,0,1,1,1,1,1,1,26,3.5,4.2,3.4,3.9,4.5,14.4,3.7,https://www.parcsidetownhomes.com/,979-378-6243,2500 Central Park Ln,2,2.0
Parcside Townhomes,1223,1,0,0,1,1,1,1,1,1,26,3.5,4.2,3.4,3.9,4.5,14.4,3.7,https://www.parcsidetownhomes.com/,979-378-6243,2500 Central Park Ln,3,2.0
The Point on Redmond,905,1,0,0,1,1,1,0,1,1,27,2.7,2.5,1.9,2.2,2.8,12.0,3.7,https://www.pointonredmond.com/,979-364-4109,309 Redmond dr,2,1.0
The Point on Redmond,905,1,0,0,1,1,1,0,1,1,27,2.7,2.5,1.9,2.2,2.8,12.0,3.7,https://www.pointonredmond.com/,979-364-4109,309 Redmond dr,2,1.5
Redstone,769,1,0,0,1,1,0,1,1,1,26,3.3,3.2,2.7,2.9,3.5,13.8,3.1,https://www.liveatredstonecollegestation.com/,979-696-1848,1301 Barthelow Dr,2,1.0
Redstone,799,1,0,0,1,1,1,1,1,1,26,3.3,3.2,2.7,2.9,3.5,13.8,3.1,https://www.liveatredstonecollegestation.com/,979-696-1848,1301 Barthelow Dr,2,1.0
Arbor Square,749,1,0,0,1,1,0,1,1,1,26,3.3,3.2,2.8,2.9,3.5,13.2,2.8,https://www.liveatarborsquarecollegestation.com/,979-693-3701,1700 Southwest Pkwy,1,1.0
Arbor Square,849,1,0,0,1,1,0,1,1,1,26,3.3,3.2,2.8,2.9,3.5,13.2,2.8,https://www.liveatarborsquarecollegestation.com/,979-693-3701,1700 Southwest Pkwy,2,2.0
Dwell @ 1600,810,1,0,0,1,1,0,0,1,1,26,3.2,3.2,3.2,2.9,3.5,13.1,3.8,https://www.dwellat1600.com/,972-645-2815,1600 Southwest Pkwy,1,1.0
Dwell @ 1600,925,1,0,0,1,1,0,0,1,1,26,3.2,3.2,3.2,2.9,3.5,13.1,3.8,https://www.dwellat1600.com/,972-645-2815,1600 Southwest Pkwy,2,1.5
Dwell @ 1600,980,1,0,0,1,1,0,0,1,1,26,3.2,3.2,3.2,2.9,3.5,13.1,3.8,https://www.dwellat1600.com/,972-645-2815,1600 Southwest Pkwy,2,2.0
Dwell @ 1600,1200,1,0,0,1,1,0,0,1,1,26,3.2,3.2,3.2,2.9,3.5,13.1,3.8,https://www.dwellat1600.com/,972-645-2815,1600 Southwest Pkwy,3,2.0
Midtown apartments,435,0,1,0,1,0,1,0,1,1,26,2.7,2.5,2.4,2.2,2.8,12.0,4.1,https://www.midtown-foxmeadows.com/,979-704-0860,"1612 F, Holleman Dr",4,2.0
Fox Meadows,1260,1,0,0,1,0,1,0,1,1,34,2.7,2.5,2.4,2.2,2.8,12.0,3.1,https://www.midtown-foxmeadows.com/,979-704-0860,"1612 F, Holleman Dr",3,2.0
Holleman Oaks Apartments,699,1,0,0,1,1,1,1,1,1,27,2.8,2.6,2.3,2.3,2.9,12.1,2.5,https://www.hollemanoaksapts.com/,979-271-6940,1501 Holleman Dr,1,1.0
Holleman Oaks Apartments,799,0,0,0,1,1,1,1,1,1,27,2.8,2.6,2.3,2.3,2.9,12.1,2.5,https://www.hollemanoaksapts.com/,979-271-6940,1501 Holleman Dr,2,2.0
Tower Park Apartments,850,1,0,1,1,1,0,1,1,1,27,2.7,2.5,2.2,2.2,2.8,12.0,3.3,http://www.towerparkapts.com/,979-314-0721,1601 Holleman Dr,1,1.0
Tower Park Apartments,1100,1,0,1,1,1,0,1,1,1,27,2.7,2.5,2.2,2.2,2.8,12.0,3.3,http://www.towerparkapts.com/,979-314-0721,1601 Holleman Dr,2,1.5
Tower Park Apartments,1300,1,0,1,1,1,0,1,1,1,27,2.7,2.5,2.2,2.2,2.8,12.0,3.3,http://www.towerparkapts.com/,979-314-0721,1601 Holleman Dr,2,2.0
Tower Park Apartments,1550,1,0,1,1,1,0,1,1,1,27,2.7,2.5,2.2,2.2,2.8,12.0,3.3,http://www.towerparkapts.com/,979-314-0721,1601 Holleman Dr,3,2.0
Park Place Apartments,99999,1,0,0,1,1,0,0,1,1,26,1.8,2.1,1.8,2.0,2.4,11.6,4.7,https://www.parkplacecollegestation.com/,979-693-2300,1505 Park Pl,1,1.0
Park Place Apartments,99999,1,0,0,1,1,0,0,1,1,26,1.8,2.1,1.8,2.0,2.4,11.6,4.7,https://www.parkplacecollegestation.com/,979-693-2300,1505 Park Pl,2,1.0
Scandia,759,1,0,0,1,1,0,1,1,1,27,1.9,2.2,1.9,1.9,2.5,11.7,2.7,https://www.liveatscandiacollegestation.com/,979-693-6505,401 Anderson St,1,1.0
Scandia,859,1,0,0,1,1,0,1,1,1,27,1.9,2.2,1.9,1.9,2.5,11.7,2.7,https://www.liveatscandiacollegestation.com/,979-693-6505,401 Anderson St,2,1.5
Scandia,919,1,0,0,1,1,0,1,1,1,27,1.9,2.2,1.9,1.9,2.5,11.7,2.7,https://www.liveatscandiacollegestation.com/,979-693-6505,401 Anderson St,2,2.0
Berkeley House at College Station,1219,0,0,0,1,1,1,1,1,1,36,1.5,1.3,2.0,1.0,1.6,10.8,3.8,https://www.liveberkeleyhouse.com/,979-314-2530,801 Wellborn Rd,1,1.0
Berkeley House at College Station,869,0,0,0,1,1,1,1,1,1,36,1.5,1.3,2.0,1.0,1.6,10.8,3.8,https://www.liveberkeleyhouse.com/,979-314-2530,801 Wellborn Rd,2,2.0
Berkeley House at College Station,819,0,0,0,1,1,1,1,1,1,36,1.5,1.3,2.0,1.0,1.6,10.8,3.8,https://www.liveberkeleyhouse.com/,979-314-2530,801 Wellborn Rd,3,3.0
Berkeley House at College Station,775,0,0,0,1,1,1,1,1,1,36,1.5,1.3,2.0,1.0,1.6,10.8,3.8,https://www.liveberkeleyhouse.com/,979-314-2530,801 Wellborn Rd,4,4.0
The Vintage at College Station,749,1,0,0,1,1,0,1,1,1,31,3.2,2.8,3.9,2.6,5.5,12.4,2.2,https://www.vintageatcollegestation.com/,979-693-0804,1101 Southwest Pkwy,1,1.0
The Vintage at College Station,849,1,0,0,1,1,0,1,1,1,31,3.2,2.8,3.9,2.6,5.5,12.4,2.2,https://www.vintageatcollegestation.com/,979-693-0804,1101 Southwest Pkwy,2,2.0
The Vintage at College Station,949,1,0,0,1,1,0,1,1,1,31,3.2,2.8,3.9,2.6,5.5,12.4,2.2,https://www.vintageatcollegestation.com/,979-693-0804,1101 Southwest Pkwy,2,1.5
The Grove at Southwood,920,1,0,0,1,1,1,1,1,1,31,2.7,2.5,2.8,2.3,5.3,12.2,3.3,http://www.grovesouthwood.com/,979-696-9771,603 Southwest Pkwy,2,2.0
Madison Pointe Apartments,885,1,0,0,1,1,1,1,1,1,31,2.6,2.4,3.2,2.6,4.8,11.7,4.0,https://adaraportal.yottareal.com/dba/dbahome?dbaid=54&dbaid=54,979-599-7173,503 Southwest Pkwy,1,1.0
Madison Pointe Apartments,998,1,0,0,1,1,1,1,1,1,31,2.6,2.4,3.2,2.6,4.8,11.7,4.0,https://adaraportal.yottareal.com/dba/dbahome?dbaid=54&dbaid=54,979-599-7173,503 Southwest Pkwy,2,1.5
Madison Pointe Apartments,1170,1,0,0,1,1,1,1,1,1,31,2.6,2.4,3.2,2.6,4.8,11.7,4.0,https://adaraportal.yottareal.com/dba/dbahome?dbaid=54&dbaid=54,979-599-7173,503 Southwest Pkwy,2,2.0
Madison Pointe Apartments,1399,1,0,0,1,1,1,1,1,1,31,2.6,2.4,3.2,2.6,4.8,11.7,4.0,https://adaraportal.yottareal.com/dba/dbahome?dbaid=54&dbaid=54,979-599-7173,503 Southwest Pkwy,3,2.0
Sausalito Apartments,852,1,0,0,1,1,0,1,1,1,22,3.1,2.9,2.4,3.1,3.6,12.5,3.4,https://www.thesausalitoapartments.com/floorplans,18335792602,"1001 Harvey Rd, College Station, TX 77840",1,1.0
Sausalito Apartments,872,1,0,0,1,1,0,1,1,1,22,3.1,2.9,2.4,3.1,3.6,12.5,3.4,https://www.thesausalitoapartments.com/floorplans,18335792602,"1002 Harvey Rd, College Station, TX 77840",1,1.0
Sausalito Apartments,982,1,0,0,1,1,0,1,1,1,22,3.1,2.9,2.4,3.1,3.6,12.5,3.4,https://www.thesausalitoapartments.com/floorplans,18335792602,"1003 Harvey Rd, College Station, TX 77840",2,1.5
Sausalito Apartments,1082,1,0,0,1,1,0,1,1,1,22,3.1,2.9,2.4,3.1,3.6,12.5,3.4,https://www.thesausalitoapartments.com/floorplans,18335792602,"1004 Harvey Rd, College Station, TX 77840",2,2.0
Sausalito Apartments,1362,1,0,0,1,1,0,1,1,1,22,3.1,2.9,2.4,3.1,3.6,12.5,3.4,https://www.thesausalitoapartments.com/floorplans,18335792602,"1005 Harvey Rd, College Station, TX 77840",3,2.0
Sundance Apartments,872,1,0,0,1,1,0,1,1,1,22,2.4,2.7,2.2,2.9,3.5,12.4,3.3,https://www.thesundanceapartments.com/floorplans,18444057038,"811 Harvey Rd, College Station, TX 77840",1,1.0
Sundance Apartments,982,1,0,0,1,1,0,1,1,1,22,2.4,2.7,2.2,2.9,3.5,12.4,3.3,https://www.thesundanceapartments.com/floorplans,18444057038,"812 Harvey Rd, College Station, TX 77840",2,1.5
Sundance Apartments,1082,1,0,0,1,1,0,1,1,1,22,2.4,2.7,2.2,2.9,3.5,12.4,3.3,https://www.thesundanceapartments.com/floorplans,18444057038,"813 Harvey Rd, College Station, TX 77840",2,2.0
Sundance Apartments,1362,1,0,0,1,1,0,1,1,1,22,2.4,2.7,2.2,2.9,3.5,12.4,3.3,https://www.thesundanceapartments.com/floorplans,18444057038,"814 Harvey Rd, College Station, TX 77840",3,2.0
Sundance Apartments,1532,1,0,0,1,1,0,1,1,1,22,2.4,2.7,2.2,2.9,3.5,12.4,3.3,https://www.thesundanceapartments.com/floorplans,18444057038,"815 Harvey Rd, College Station, TX 77840",4,2.0
The Ivy,825,1,0,0,1,1,0,1,1,1,22,2.8,3.1,2.6,3.3,3.9,12.7,3.1,https://www.theivycs.com/,19796805000,"1201 Harvey Rd, College Station, TX 77840",1,1.0
The Ivy,899,1,0,0,1,1,0,1,1,1,22,2.8,3.1,2.6,3.3,3.9,12.7,3.1,https://www.theivycs.com/,19796805000,"1202 Harvey Rd, College Station, TX 77840",2,1.0
The Ivy,999,1,0,0,1,1,0,1,1,1,22,2.8,3.1,2.6,3.3,3.9,12.7,3.1,https://www.theivycs.com/,19796805000,"1203 Harvey Rd, College Station, TX 77840",2,2.0
The Ivy,1350,1,0,0,1,1,0,1,1,1,22,2.8,3.1,2.6,3.3,3.9,12.7,3.1,https://www.theivycs.com/,19796805000,"1204 Harvey Rd, College Station, TX 77840",3,2.0
The Grand 1501 Apartments,99999,1,0,0,1,1,0,1,1,1,22,3.6,3.8,3.4,3.8,4.3,15.2,3.0,https://www.thegrand1501.com/,19796801501,"1501 Harvey Rd, College Station, TX 77840",1,1.0
The Grand 1501 Apartments,99999,1,0,0,1,1,0,1,1,1,22,3.6,3.8,3.4,3.8,4.3,15.2,3.0,https://www.thegrand1501.com/,19796801501,"1502 Harvey Rd, College Station, TX 77840",2,1.0
The Grand 1501 Apartments,99999,1,0,0,1,1,0,1,1,1,22,3.6,3.8,3.4,3.8,4.3,15.2,3.0,https://www.thegrand1501.com/,19796801501,"1503 Harvey Rd, College Station, TX 77840",2,2.0
The Grand 1501 Apartments,99999,1,0,0,1,1,0,1,1,1,22,3.6,3.8,3.4,3.8,4.3,15.2,3.0,https://www.thegrand1501.com/,19796801501,"1504 Harvey Rd, College Station, TX 77840",3,2.0
The Dominik Apartments,699,1,0,0,1,1,0,1,1,1,22,2.0,2.3,1.8,2.5,2.9,11.9,3.5,https://www.thedominikapts.com/,19793785623,"700 Dominik Dr, College Station, TX 77840",1,1.0
The Dominik Apartments,799,1,0,0,1,1,0,1,1,1,22,2.0,2.3,1.8,2.5,2.9,11.9,3.5,https://www.thedominikapts.com/,19793785623,"701 Dominik Dr, College Station, TX 77840",2,1.5
The Dominik Apartments,850,1,0,0,1,1,0,1,1,1,22,2.0,2.3,1.8,2.5,2.9,11.9,3.5,https://www.thedominikapts.com/,19793785623,"702 Dominik Dr, College Station, TX 77840",2,2.0
The Dominik Apartments,1310,1,0,0,1,1,0,1,1,1,22,2.0,2.3,1.8,2.5,2.9,11.9,3.5,https://www.thedominikapts.com/,19793785623,"703 Dominik Dr, College Station, TX 77840",3,2.0
Eastgate Apartments,99999,1,0,0,1,1,0,1,1,1,12,1.4,1.9,1.3,2.9,2.3,11.0,3.2,https://www.eastgatebcs.com/,19796967380,"401 Lincoln Ave, College Station, TX 77840",1,1.0
Eastgate Apartments,99999,1,0,0,1,1,0,1,1,1,12,1.4,1.9,1.3,2.9,2.3,11.0,3.2,https://www.eastgatebcs.com/,19796967380,"402 Lincoln Ave, College Station, TX 77840",2,1.5
The Halston,955,1,0,0,1,1,1,1,1,1,12,2.8,3.1,1.8,3.1,2.7,11.5,3.4,https://www.thehalstonapt.com/,19799780622,"801 Spring Loop, College Station, TX 77840",1,1.0
The Halston,925,1,0,0,1,1,1,1,1,1,12,2.8,3.1,1.8,3.1,2.7,11.5,3.4,https://www.thehalstonapt.com/,19799780622,"802 Spring Loop, College Station, TX 77840",2,1.5
The Halston,1005,1,0,0,1,1,1,1,1,1,12,2.8,3.1,1.8,3.1,2.7,11.5,3.4,https://www.thehalstonapt.com/,19799780622,"803 Spring Loop, College Station, TX 77840",2,2.0
Willow Oaks Apartments,792,1,0,0,1,1,0,1,1,1,12,3.1,3.4,2.4,4.3,3.3,10.5,3.1,https://www.willowoaksapt.com/?utm_source=GMB&utm_medium=organic,18336641457,"3902 E 29th St, Bryan, TX 77802",0,0.0
Willow Oaks Apartments,942,1,0,0,1,1,0,1,1,1,12,3.1,3.4,2.4,4.3,3.3,10.5,3.1,https://www.willowoaksapt.com/?utm_source=GMB&utm_medium=organic,18336641457,"3903 E 29th St, Bryan, TX 77802",1,1.0
Willow Oaks Apartments,1057,1,0,0,1,1,0,1,1,1,12,3.1,3.4,2.4,4.3,3.3,10.5,3.1,https://www.willowoaksapt.com/?utm_source=GMB&utm_medium=organic,18336641457,"3904 E 29th St, Bryan, TX 77802",2,1.0
Willow Oaks Apartments,1092,1,0,0,1,1,0,1,1,1,12,3.1,3.4,2.4,4.3,3.3,10.5,3.1,https://www.willowoaksapt.com/?utm_source=GMB&utm_medium=organic,18336641457,"3905 E 29th St, Bryan, TX 77802",2,2.0
Willow Oaks Apartments,1112,1,0,0,1,1,0,1,1,1,12,3.1,3.4,2.4,4.3,3.3,10.5,3.1,https://www.willowoaksapt.com/?utm_source=GMB&utm_medium=organic,18336641457,"3906 E 29th St, Bryan, TX 77802",2,1.5
Willow Oaks Apartments,1192,1,0,0,1,1,0,1,1,1,12,3.1,3.4,2.4,4.3,3.3,10.5,3.1,https://www.willowoaksapt.com/?utm_source=GMB&utm_medium=organic,18336641457,"3907 E 29th St, Bryan, TX 77802",3,2.0
Creekside Apartments,875,1,0,0,1,0,0,0,1,0,0,3.5,4.2,2.7,4.1,4.1,10.5,2.3,https://www.bcsonlinerealestate.com/availtwo.php,19792688620,"3700 Plainsman Ln, Bryan, TX 77802",2,1.0
EnVue Apartments,872,1,0,0,1,1,0,1,1,0,0,3.4,4.1,3.1,4.2,4.0,10.3,3.7,https://www.envueapt.com/?utm_source=GMB&utm_medium=organic,18886706461,"3535 Plainsman Ln, Bryan, TX 77802",1,1.0
EnVue Apartments,952,1,0,0,1,1,0,1,1,0,0,3.4,4.1,3.1,4.2,4.0,10.3,3.7,https://www.envueapt.com/?utm_source=GMB&utm_medium=organic,18886706461,"3536 Plainsman Ln, Bryan, TX 77802",2,1.0
EnVue Apartments,984,1,0,0,1,1,0,1,1,0,0,3.4,4.1,3.1,4.2,4.0,10.3,3.7,https://www.envueapt.com/?utm_source=GMB&utm_medium=organic,18886706461,"3537 Plainsman Ln, Bryan, TX 77802",2,1.5
EnVue Apartments,1270,1,0,0,1,1,0,1,1,0,0,3.4,4.1,3.1,4.2,4.0,10.3,3.7,https://www.envueapt.com/?utm_source=GMB&utm_medium=organic,18886706461,"3538 Plainsman Ln, Bryan, TX 77802",3,2.0
Walden Pond,99999,1,0,1,1,1,0,1,1,1,35,2.7,2.6,3.1,1.8,2.7,9.2,2.5,https://www.liveatwaldenpondcollegestation.com/,19796965777,"1331 Harvey Mitchell Pkwy S, College Station, TX 77840",1,1.0
Walden Pond,99999,1,0,1,1,1,0,1,1,1,35,2.7,2.6,3.1,1.8,2.7,10.4,2.5,https://www.liveatwaldenpondcollegestation.com/,19796965777,"1332 Harvey Mitchell Pkwy S, College Station, TX 77840",1,2.0
Limestone Terrace,1070,1,0,0,1,1,1,1,1,1,35,3.0,2.9,3.6,2.2,3.0,9.5,3.2,https://knightsgateapts.com/,19796938506,"1270 Harvey Mitchell Pkwy S, College Station, TX 77840",1,1.0
Limestone Terrace,1234,1,0,0,1,1,1,1,1,1,35,3.0,2.9,3.6,2.2,3.0,9.5,3.2,https://knightsgateapts.com/,19796938506,"1271 Harvey Mitchell Pkwy S, College Station, TX 77840",2,2.0
Limestone Terrace,1440,1,0,0,1,1,1,1,1,1,35,3.0,2.9,3.6,2.2,3.0,9.5,3.2,https://knightsgateapts.com/,19796938506,"1272 Harvey Mitchell Pkwy S, College Station, TX 77840",3,3.0
Parkway Apartments,1110,1,1,1,1,1,1,1,1,1,35,3.1,3.0,3.8,2.3,3.1,9.6,3.7,http://theparkwaylife.com/,19793140382,"1350 Harvey Mitchell Pkwy S, College Station, TX 77840",1,1.0
Parkway Apartments,680,0,1,1,1,1,1,1,1,1,35,3.1,3.0,3.8,2.3,3.1,9.6,3.7,http://theparkwaylife.com/,19793140382,"1351 Harvey Mitchell Pkwy S, College Station, TX 77840",2,2.0
Parkway Apartments,508,0,1,1,1,1,1,1,1,1,35,3.1,3.0,3.8,2.3,3.1,9.6,3.7,http://theparkwaylife.com/,19793140382,"1352 Harvey Mitchell Pkwy S, College Station, TX 77840",4,4.0
Holleman Crossing Apartments,1100,1,1,1,1,1,1,1,1,1,35,2.7,2.6,3.2,2.8,3.6,10.0,3.9,http://www.hollemancrossing.com/,19797038240,"2200 Cottage Ln, College Station, TX 77845",1,1.0
Holleman Crossing Apartments,740,0,1,1,1,1,1,1,1,1,35,2.7,2.6,3.2,2.8,3.6,10.0,3.9,http://www.hollemancrossing.com/,19797038240,"2201 Cottage Ln, College Station, TX 77845",2,2.0
Holleman Crossing Apartments,575,0,1,1,1,1,1,1,1,1,35,2.7,2.6,3.2,2.8,3.6,10.0,3.9,http://www.hollemancrossing.com/,19797038240,"2202 Cottage Ln, College Station, TX 77845",4,4.0
Treehouse Apartments and Condominiums,725,1,0,1,1,1,0,1,1,1,36,1.3,1.2,1.9,0.7,1.5,10.1,3.4,https://treehouseapartmentscstx.com/,19796965707,"200 Marion Pugh Dr, College Station, TX 77840",1,1.0
Treehouse Apartments and Condominiums,940,1,0,1,1,1,0,1,1,1,36,1.3,1.2,1.9,0.7,1.5,10.1,3.4,https://treehouseapartmentscstx.com/,19796965707,"201 Marion Pugh Dr, College Station, TX 77840",2,2.0
